round_idx,agent_id,deviation_D,is_crisis
11,pr_agent,3.0952697183835935,0
12,pr_agent,1.9435066980655784,0
13,pr_agent,4.316979908553574,1
14,pr_agent,8.771677016603768,1
15,pr_agent,4.316979908553574,1
16,pr_agent,4.316979908553574,1
17,pr_agent,4.316979908553574,1
18,pr_agent,4.316979908553574,1
19,pr_agent,4.316979908553574,1
20,pr_agent,4.316979908553574,1
21,pr_agent,4.316979908553574,1
22,pr_agent,4.316979908553574,1
0,intern_agent,2.1889686737689393,0
1,intern_agent,2.1889686737689393,0
2,intern_agent,2.1889686737689393,0
3,intern_agent,2.1889686737689393,0
4,intern_agent,2.1889686737689393,0
5,intern_agent,2.0262945415283196,0
6,intern_agent,2.0262945415283196,0
7,intern_agent,4.244403430179367,0
8,intern_agent,2.648577066675307,0
9,intern_agent,2.4077162704942836,0
10,intern_agent,3.755778157589644,0
11,intern_agent,3.755778157589644,0
12,intern_agent,2.1889686737689393,0
13,intern_agent,2.1889686737689393,1
14,intern_agent,3.270178486898322,1
15,intern_agent,2.1889686737689393,1
16,intern_agent,2.1889686737689393,1
17,intern_agent,2.1889686737689393,1
18,intern_agent,2.1889686737689393,1
19,intern_agent,2.1889686737689393,1
20,intern_agent,3.1518058635756225,1
21,intern_agent,3.28712312627375,1
22,intern_agent,2.1889686737689393,1
0,pr_intern_agent,1.59960223032334,0
1,pr_intern_agent,1.59960223032334,0
2,pr_intern_agent,1.59960223032334,0
3,pr_intern_agent,1.59960223032334,0
4,pr_intern_agent,1.59960223032334,0
5,pr_intern_agent,3.36905871177136,0
6,pr_intern_agent,2.5834612699825885,0
7,pr_intern_agent,4.685839053718821,0
8,pr_intern_agent,3.6866214378996434,0
9,pr_intern_agent,4.685839053718821,0
10,pr_intern_agent,1.59960223032334,0
11,pr_intern_agent,1.59960223032334,0
12,pr_intern_agent,1.59960223032334,0
13,pr_intern_agent,3.793402043162742,1
14,pr_intern_agent,4.8385502225709045,1
15,pr_intern_agent,1.59960223032334,1
16,pr_intern_agent,1.59960223032334,1
17,pr_intern_agent,4.202748599596706,1
18,pr_intern_agent,5.5347195259776,1
19,pr_intern_agent,4.625974113793946,1
20,pr_intern_agent,5.576109465787736,1
21,pr_intern_agent,1.59960223032334,1
22,pr_intern_agent,1.59960223032334,1
0,judge_agent,1.1078030895579398,0
1,judge_agent,1.1078030895579398,0
2,judge_agent,1.1078030895579398,0
3,judge_agent,1.1078030895579398,0
4,judge_agent,1.1078030895579398,0
5,judge_agent,1.1078030895579398,0
6,judge_agent,1.1078030895579398,0
7,judge_agent,1.1078030895579398,0
8,judge_agent,1.1078030895579398,0
9,judge_agent,3.0064598524691606,0
10,judge_agent,3.2731292380920243,0
11,judge_agent,3.2731292380920243,0
12,judge_agent,2.547430071636572,0
13,judge_agent,1.1078030895579398,1
14,judge_agent,1.1078030895579398,1
15,judge_agent,1.1078030895579398,1
16,judge_agent,1.1078030895579398,1
17,judge_agent,1.1078030895579398,1
18,judge_agent,4.1183313684168015,1
19,judge_agent,7.24053172941962,1
20,judge_agent,1.1078030895579398,1
21,judge_agent,1.1078030895579398,1
22,judge_agent,1.1078030895579398,1
